Time,ActivePower,WindSpeed,Theoretical_Power_Curve,WindDirection,Loss,month,Day,Hours,Minutes,mean_Direction,Direction
2018-01-01 00:00:00,380.05,5.31,416.33,259.99,36.28,1,1,0,0,270,W
2018-01-01 00:10:00,453.77,5.67,519.92,268.64,66.15,1,1,0,10,270,W
2018-01-01 00:20:00,306.38,5.22,390.9,272.56,84.52,1,1,0,20,270,W
2018-01-01 00:30:00,419.65,5.66,516.13,271.26,96.48,1,1,0,30,270,W
2018-01-01 00:40:00,380.65,5.58,491.7,265.67,111.05,1,1,0,40,270,W
2018-01-01 00:50:00,402.39,5.6,499.44,264.58,97.04,1,1,0,50,270,W
2018-01-01 01:00:00,447.61,5.79,557.37,266.16,109.77,1,1,1,0,270,W
2018-01-01 01:10:00,387.24,5.31,414.9,257.95,27.66,1,1,1,10,270,W
2018-01-01 01:20:00,463.65,5.58,493.68,253.48,30.03,1,1,1,20,240,SWW
2018-01-01 01:30:00,439.73,5.52,475.71,258.72,35.98,1,1,1,30,270,W
2018-01-01 01:40:00,498.18,5.72,535.84,251.85,37.66,1,1,1,40,240,SWW
2018-01-01 01:50:00,526.82,5.93,603.01,265.5,76.2,1,1,1,50,270,W
2018-01-01 02:00:00,710.59,6.55,824.66,274.23,114.08,1,1,2,0,270,W
2018-01-01 02:10:00,655.19,6.2,693.47,266.73,38.28,1,1,2,10,270,W
2018-01-01 02:20:00,754.76,6.51,808.1,266.76,53.34,1,1,2,20,270,W
2018-01-01 02:30:00,790.17,6.63,859.46,270.49,69.29,1,1,2,30,270,W
2018-01-01 02:40:00,742.99,6.38,759.43,266.59,16.45,1,1,2,40,270,W
2018-01-01 02:50:00,748.23,6.45,785.28,265.57,37.05,1,1,2,50,270,W
2018-01-01 03:00:00,736.65,6.42,773.17,261.16,36.53,1,1,3,0,270,W
2018-01-01 03:10:00,787.25,6.44,781.77,257.56,-5.48,1,1,3,10,270,W
2018-01-01 03:20:00,722.86,6.22,700.76,255.93,-22.1,1,1,3,20,270,W
2018-01-01 03:30:00,935.03,6.9,970.74,250.01,35.7,1,1,3,30,240,SWW
2018-01-01 03:40:00,1220.61,7.61,1315.05,255.99,94.44,1,1,3,40,270,W
2018-01-01 03:50:00,1053.77,7.29,1151.27,255.44,97.49,1,1,3,50,270,W
2018-01-01 04:00:00,1493.81,7.94,1497.58,256.41,3.78,1,1,4,0,270,W
2018-01-01 04:10:00,1724.49,8.38,1752.2,252.41,27.71,1,1,4,10,240,SWW
2018-01-01 04:20:00,1636.94,8.24,1668.47,247.98,31.54,1,1,4,20,240,SWW
2018-01-01 04:30:00,1385.49,7.88,1461.82,238.61,76.33,1,1,4,30,240,SWW
2018-01-01 04:40:00,1098.93,7.1,1062.29,245.1,-36.65,1,1,4,40,240,SWW
2018-01-01 04:50:00,1021.46,6.96,996.0,245.41,-25.46,1,1,4,50,240,SWW
2018-01-01 05:00:00,1164.89,7.1,1060.86,235.23,-104.03,1,1,5,0,240,SWW
2018-01-01 05:10:00,1073.33,6.95,995.25,242.87,-78.08,1,1,5,10,240,SWW
2018-01-01 05:20:00,1165.31,7.25,1132.42,244.84,-32.89,1,1,5,20,240,SWW
2018-01-01 05:30:00,1177.99,7.29,1154.37,242.48,-23.62,1,1,5,30,240,SWW
2018-01-01 05:40:00,1170.54,7.38,1194.84,247.98,24.31,1,1,5,40,240,SWW
2018-01-01 05:50:00,1145.54,7.45,1231.43,249.68,85.89,1,1,5,50,240,SWW
2018-01-01 06:00:00,1114.03,7.24,1127.43,248.4,13.41,1,1,6,0,240,SWW
2018-01-01 06:10:00,1153.19,7.33,1171.36,244.62,18.17,1,1,6,10,240,SWW
2018-01-01 06:20:00,1125.33,7.14,1080.14,244.63,-45.19,1,1,6,20,240,SWW
2018-01-01 06:30:00,1228.73,7.47,1244.63,245.79,15.9,1,1,6,30,240,SWW
2018-01-01 06:40:00,1021.79,7.03,1030.99,248.65,9.2,1,1,6,40,240,SWW
2018-01-01 06:50:00,957.38,6.89,965.68,244.61,8.31,1,1,6,50,240,SWW
2018-01-01 07:00:00,909.89,6.89,966.28,235.85,56.39,1,1,7,0,240,SWW
2018-01-01 07:10:00,1000.95,7.22,1116.47,232.84,115.52,1,1,7,10,240,SWW
2018-01-01 07:20:00,1024.48,7.07,1047.17,229.93,22.69,1,1,7,20,240,SWW
2018-01-01 07:30:00,1009.53,6.94,988.45,230.14,-21.08,1,1,7,30,240,SWW
2018-01-01 07:40:00,899.49,6.54,820.42,234.93,-79.08,1,1,7,40,240,SWW
2018-01-01 07:50:00,725.11,6.18,686.64,232.84,-38.47,1,1,7,50,240,SWW
2018-01-01 08:00:00,585.26,5.82,564.93,240.33,-20.33,1,1,8,0,240,SWW
